发布时间,电影名,标题,豆瓣评分,影评链接
2016/12/4 7:40,《三少爷的剑》,武侠风，讲得却依然是儿女情长的悲剧,3,https://movie.douban.com/review/8209149/
2016/11/12 16:31,《航海王之黄金城》,甭管什么套路，take my money！,5,https://movie.douban.com/review/8168834/
2016/11/7 10:07,《奇异博士》,每个人心里都有一颗种子,5,https://movie.douban.com/review/8161173/
2016/10/31 10:15,《驴得水》,我给你讲个笑话，你可别哭,3,https://movie.douban.com/review/8151510/
2016/10/29 21:11,《黑海夺金》,论幽闭/利益对人性的考验,4,https://movie.douban.com/review/8149352/
2016/10/10 10:33,《湄公河行动》,大国崛起,5,https://movie.douban.com/review/8123537/
2016/9/12 12:05,《微微一笑很倾城》,雄鹰和井蛙各自幸福,5,https://movie.douban.com/review/8081936/
2016/9/4 12:28,《成龙的特技》,成龙是真正的电影人,5,https://movie.douban.com/review/8071970/
2016/9/4 12:27,《谍影重重5》,个人英雄时代在远去,3,https://movie.douban.com/review/8071967/
2016/8/28 18:48,《陆垚知马俐》,你不要，人家不会给你,4,https://movie.douban.com/review/8063651/
2016/8/25 14:08,《嫌疑人X的献身》,绝望的爱情,5,https://movie.douban.com/review/8059169/
2016/8/19 12:17,《寿司之神》,“重复”，让他变得受人尊敬,5,https://movie.douban.com/review/8049928/
2016/7/25 13:54,《绝地逃亡》,嗯，大哥的烂片,1,https://movie.douban.com/review/8007484/
2016/6/27 14:01,《惊天魔盗团2》,你敢再扯一点吗？,2,https://movie.douban.com/review/7954001/
2016/5/25 13:49,《疯狂动物城》,改变固有认知，不要随意打标签,3,https://movie.douban.com/review/7910037/
